grade	unit	word	ipa	zh
六年级上册	Unit 6	deep		深的
六年级上册	Unit 6	breath		呼吸
六年级上册	Unit 6	take a deep breath		深深吸一口气
六年级上册	Unit 6	count		数数
六年级上册	Unit 6	count to ten		数到十
六年级上册	Unit 6	chase		追赶
六年级上册	Unit 6	mice		（mouse的复数）
六年级上册	Unit 6	bad		邪恶的；坏的
六年级上册	Unit 6	hurt		受伤
六年级上册	Unit 6	ill		有病；不舒服
六年级上册	Unit 6	wrong		有毛病
六年级上册	Unit 6	should		应该
六年级上册	Unit 6	feel		觉得；感到
六年级上册	Unit 6	well		健康；身体好
六年级上册	Unit 6	sit		坐
六年级上册	Unit 6	grass		草坪
六年级上册	Unit 6	hear		听见
六年级上册	Unit 6	ant		蚂蚁
六年级上册	Unit 6	worry		担心；担忧
六年级上册	Unit 6	stuck		陷住；无法移动
六年级上册	Unit 6	mud		泥
六年级上册	Unit 6	pull		拉拽
六年级上册	Unit 6	everyone		每人
六年级下册	Unit 1	young		年轻的
六年级下册	Unit 1	younger		更年轻的
六年级下册	Unit 1	old		老的
六年级下册	Unit 1	older		年龄更大的
六年级下册	Unit 1	tall		高的
六年级下册	Unit 1	taller		更高的
六年级下册	Unit 1	short		矮的
六年级下册	Unit 1	shorter		更矮的
六年级下册	Unit 1	long		长的
六年级下册	Unit 1	longer		更长的
六年级下册	Unit 1	thin		瘦的
六年级下册	Unit 1	thinner		更瘦的
六年级下册	Unit 1	heavy		重的
六年级下册	Unit 1	heavier		更重的
六年级下册	Unit 1	big		大的
六年级下册	Unit 1	bigger		更大的
六年级下册	Unit 1	small		小的
六年级下册	Unit 1	smaller		更小的
六年级下册	Unit 1	strong		强壮的
六年级下册	Unit 1	stronger		更强壮的
六年级下册	Unit 1	dinosaur		恐龙
六年级下册	Unit 1	hall		大厅
六年级下册	Unit 1	meter		米
六年级下册	Unit 1	than		比
六年级下册	Unit 1	both		两个都
六年级下册	Unit 1	kilogram		千克；公斤
六年级下册	Unit 1	countryside		乡村
六年级下册	Unit 1	lower		low的比较级；更低的
六年级下册	Unit 1	shadow		阴影；影子
六年级下册	Unit 1	smarter		更聪明的
六年级下册	Unit 1	become		开始变得；变成
六年级下册	Unit 2	cleaned		打扫
六年级下册	Unit 2	stayed		停留；待
六年级下册	Unit 2	washed		洗
六年级下册	Unit 2	watched		看
六年级下册	Unit 2	had		患病；得病
六年级下册	Unit 2	a cold		感冒
六年级下册	Unit 2	slept		睡觉
六年级下册	Unit 2	read		读
六年级下册	Unit 2	saw		看见
六年级下册	Unit 2	last		最近的；上一个的
六年级下册	Unit 2	yesterday		昨天
六年级下册	Unit 2	before		在……之前
六年级下册	Unit 2	drank		喝
六年级下册	Unit 2	show		演出
六年级下册	Unit 2	magazine		杂志
六年级下册	Unit 2	better		更好的
六年级下册	Unit 2	faster		更快的
六年级下册	Unit 2	hotel		旅馆
六年级下册	Unit 2	fixed		修理
六年级下册	Unit 2	broken		破损的
六年级下册	Unit 2	lamp		台灯
六年级下册	Unit 2	loud		喧闹的；大声的
六年级下册	Unit 2	enjoy		享受；喜爱
六年级下册	Unit 2	stay		住宿；逗留
六年级下册	Unit 3	went		(go的过去式) 去
六年级下册	Unit 3	camp		野营
六年级下册	Unit 3	went camping		去野营
六年级下册	Unit 3	fish		钓鱼；捕鱼
六年级下册	Unit 3	went fishing		去钓鱼
六年级下册	Unit 3	rode		(ride的过去式)骑(马，自行车)
六年级下册	Unit 3	hurt		受伤
六年级下册	Unit 3	ate		(eat的过去式) 吃
六年级下册	Unit 3	took		(take的过去式) 拍照
六年级下册	Unit 3	took pictures		拍照
六年级下册	Unit 3	bought		(buy的过去式) 买
六年级下册	Unit 3	gift		礼物
六年级下册	Unit 3	fell		(fall的过去式) 摔倒
六年级下册	Unit 3	mule		骡子
六年级下册	Unit 3	could		(can的过去式) 能
六年级下册	Unit 3	till		直到
六年级下册	Unit 3	beach		海滩；沙滩
六年级下册	Unit 3	basket		蓝；筐
六年级下册	Unit 3	part		角色
六年级下册	Unit 3	licked		(lick的过去式) 舔
六年级下册	Unit 3	laughed		(laugh的过去式) 笑
六年级下册	Unit 4	dining hall		饭厅
六年级下册	Unit 4	grass		草坪
六年级下册	Unit 4	gym		体育馆
六年级下册	Unit 4	ago		以前
六年级下册	Unit 4	cycling		骑自行车运动
六年级下册	Unit 4	go cycling		去骑自行车
六年级下册	Unit 4	ice-skate		滑冰
六年级下册	Unit 4	badminton		羽毛球运动
六年级下册	Unit 4	star		星星
六年级下册	Unit 4	easy		容易的
六年级下册	Unit 4	look up		查阅
六年级下册	Unit 4	Internet		互联网
六年级下册	Unit 4	different		不同的
六年级下册	Unit 4	active		积极的；活跃的
六年级下册	Unit 4	race		赛跑
六年级下册	Unit 4	nothing		没什么
六年级下册	Unit 4	thought		(think的过去式) 想
六年级下册	Unit 4	felt		(feel的过去式) 感觉
六年级下册	Unit 4	cheetah		猎豹
六年级下册	Unit 4	trip		绊倒
六年级下册	Unit 4	woke		(wake的过去式) 醒
六年级下册	Unit 4	dream		梦
六年级下册	Unit 4	合计	**46**	**837**
